Risk,Expected Return
74279.38694245427905116230,-5825.63082951253181818174
74279.72299534262856468558,-5770.40285849802330631064
74287.75658154870325233787,-5663.76008801055377261946
74288.41257660141855012625,-5640.92727378131348814350
74293.17650991995469667017,-5394.68495810274725954514
74294.73747690460004378110,-5371.74232305666555475909
74302.70310924090154003352,-5258.19670882740774686681
74311.59101847505371551961,-5185.67009486164533882402
74331.84152446396183222532,-5075.24046429515601630555
74335.48641147490707226098,-5067.82980184451480454300
74337.96912096209416631609,-4951.82223873520797496894
74357.78427757155441213399,-4894.68542819498907192610
74397.80749202733568381518,-4689.13158945981831493555
74403.76516816305229440331,-4654.71104558636125148041
74431.27052078137057833374,-4548.65636943345725740073
74433.49982690291653852910,-4508.99065032939142838586
74444.57342790933034848422,-4409.81234835311352071585
74478.91964811665820889175,-4346.13602476940923224902
74508.86144856199098285288,-4250.84470039521784201497
74544.73267557042709086090,-4104.77489169965156179387
74601.29598773624456953257,-3950.01290856392597561353
74626.31010421676910482347,-3869.19180079053739973460
74636.29776249785209074616,-3850.77434677203837054549
74696.78753800322010647506,-3779.57886429513973780558
74794.57672758429544046521,-3701.28042371542096589110
74914.94062403691350482404,-3646.69617865609507134650
75072.24885707689099945128,-3612.91449907775358951767
75122.59793999121757224202,-3570.68627457184038576088
75245.44767215584579389542,-3521.07710197629603499081
75343.04787803969520609826,-3473.46337285902609437471
75503.57168044194986578077,-3418.49626561268087243661
75718.80700667842756956816,-3363.63930065872364139068
75797.86802977093611843884,-3332.31618550722032523481
75958.82065880001755431294,-3310.15645164691568425042
76081.06561515238718129694,-3271.83448063245987214032
76296.65906023741990793496,-3232.54504505925297053182
76488.06401848988025449216,-3160.65855757576628093375
76640.14231729564198758453,-3124.22964268776649987558
76847.79809107056644279510,-3081.82746613965582582750
77022.17814165301388129592,-3046.34992727272810952854
77118.67140303050109650940,-3026.42356785247920925030
77316.86236048069258686155,-3016.17226297755132691236
77378.72082450165180489421,-2990.34420079049687046790
77496.95629842737980652601,-2977.48717891960768611170
77553.24171679612481966615,-2955.87223978919291766942
77758.06241914679412730038,-2939.97429986821180136758
77977.61676067364169284701,-2907.10386297757759166416
78075.91796060344495344907,-2879.93648168641175288940
78310.97046710552240256220,-2843.51650382077741596731
78472.12101889979385305196,-2760.38564268776053722831
78827.69406674873607698828,-2744.18428616599430824863
78994.09998873183212708682,-2716.71216126479021113482
79022.70765034022042527795,-2712.19958313568940866389
79252.81257622633711434901,-2675.19919314889921224676
79410.60150925745256245136,-2668.65382819497608579695
79531.97421589169243816286,-2666.14289486167535869754
79605.87511802521476056427,-2601.60097760208873296506
79804.47195367781387176365,-2598.25085797104202356422
79913.37503823552106041461,-2551.52462555997681192821
79972.52434126455045770854,-2543.57357101448769753915
80207.64133141978527419269,-2538.64161422927327294019
80376.88757826901564840227,-2519.68780658764489999157
80573.58886156635708175600,-2507.67683847170519584324
80620.29759117809589952230,-2484.20694492752409132663
80823.08653672433865722269,-2458.37481791833897659671
80857.42546359890548046678,-2455.95925797101835996727
81061.94554387954121921211,-2427.65584927535110182362
81097.90906495627132244408,-2423.71351567856754627428
81374.30277690803632140160,-2388.60023662711591896368
81560.33784005958295892924,-2365.18214018450407820637
81843.80784926627529785037,-2333.63058814227042603306
81997.43323977643740363419,-2331.01284374169927104958
82093.89570122830627951771,-2303.22168906455635806196
82303.00354507713927887380,-2299.04647536230277182767
82542.90482151752803474665,-2260.93410013178163353587
82725.17696925296331755817,-2242.00325375496367996675
82957.27156357129570096731,-2211.71140342556600444368
83171.18599998194258660078,-2184.59646587613315205090
83423.55482625993317924440,-2153.87287641632929080515
83678.91036361144506372511,-2131.15680632405837968690
83845.25738533848198130727,-2104.61588458499136322644
84104.53469624923309311271,-2080.36987246376747862087
84335.76408947122399695218,-2053.72346613966965378495
84447.90659277580562047660,-2040.88652964420566604531
