Risk,Expected Return,Remaining Fund,Selected Stocks
36274.43496452328690793365,12562.58643848288375011180,0.00000000000000000000,V:0.0056603774; PG:0.0037735849; CVX:0.0018867925; HD:0.0094339623; MRK:0.2094339623; KO:0.2358490566; CSCO:0.2396226415; MCD:0.0433962264; NKE:0.0018867925; VZ:0.0188679245; AMGN:0.0811320755; HON:0.0037735849; IBM:0.1018867925; CAT:0.0037735849; TRV:0.0320754717; WBA:0.0075471698; 
36555.0292405784,14206.0626440796,0.0000000000,V:0.0057915058; WMT:0.0019305019; PG:0.0173745174; CVX:0.0019305019; HD:0.0096525097; MRK:0.2142857143; KO:0.2413127413; CSCO:0.2451737452; MCD:0.0444015444; NKE:0.0019305019; VZ:0.0193050193; AMGN:0.0830115830; HON:0.0057915058; IBM:0.1042471042; TRV:0.0019305019; WBA:0.0019305019; 
36943.0020879987,15138.8981429232,0.0000000000,V:0.0020491803; PG:0.0061475410; CVX:0.0020491803; HD:0.0020491803; MRK:0.2274590164; KO:0.2479508197; CSCO:0.2438524590; MCD:0.0430327869; NKE:0.0020491803; VZ:0.0204918033; AMGN:0.0881147541; HON:0.0040983607; IBM:0.1106557377; 
37966.3371404917,16169.4589870490,0.0000000000,AAPL:0.0019685039; V:0.0059055118; PG:0.0019685039; CVX:0.0019685039; HD:0.0649606299; MRK:0.2303149606; KO:0.1614173228; CSCO:0.2460629921; MCD:0.0019685039; VZ:0.0216535433; AMGN:0.0944881890; HON:0.0216535433; IBM:0.1299212598; TRV:0.0157480315; 
38455.3173114513,17428.9960522664,0.0000000000,V:0.0020576132; CVX:0.0020576132; HD:0.0329218107; MRK:0.2407407407; KO:0.1687242798; CSCO:0.2613168724; MCD:0.0020576132; VZ:0.0226337449; AMGN:0.0987654321; HON:0.0226337449; IBM:0.1358024691; TRV:0.0020576132; WBA:0.0082304527; 
38569.2977668603,18183.6715032378,0.0000000000,V:0.0020790021; CVX:0.0020790021; HD:0.0332640333; MRK:0.2432432432; KO:0.1704781705; CSCO:0.2640332640; MCD:0.0020790021; VZ:0.0228690229; AMGN:0.0997920998; HON:0.0228690229; IBM:0.1372141372; 
40084.6992087374,20580.7838991674,0.0000000000,V:0.0022522523; PG:0.0022522523; CVX:0.0022522523; MRK:0.2635135135; KO:0.1486486486; CSCO:0.2860360360; MCD:0.0022522523; VZ:0.0247747748; AMGN:0.1081081081; HON:0.0067567568; IBM:0.1486486486; TRV:0.0022522523; WBA:0.0022522523; 
41264.7425986936,22857.6984273820,0.0000000000,V:0.0404761905; PG:0.0119047619; HD:0.0023809524; MRK:0.2904761905; KO:0.0523809524; CSCO:0.3023809524; MCD:0.0023809524; VZ:0.0571428571; AMGN:0.1000000000; IBM:0.1404761905; 
41293.1329622687,22904.8515772433,0.0000000000,V:0.0405727924; PG:0.0119331742; HD:0.0023866348; MRK:0.2911694511; KO:0.0525059666; CSCO:0.3031026253; MCD:0.0023866348; VZ:0.0572792363; AMGN:0.1002386635; IBM:0.1384248210; 
42688.6509343014,24255.2237950972,0.0000000000,JNJ:0.0202531646; V:0.0075949367; PG:0.0075949367; CVX:0.0025316456; HD:0.0025316456; MRK:0.3088607595; KO:0.0050632911; CSCO:0.3215189873; MCD:0.0126582278; VZ:0.0607594937; AMGN:0.1037974684; HON:0.0050632911; IBM:0.1417721519; 
42734.4220635079,24735.9253330250,0.0000000000,V:0.0077120823; PG:0.0077120823; CVX:0.0025706941; HD:0.0025706941; MRK:0.3136246787; KO:0.0051413882; CSCO:0.3264781491; MCD:0.0128534704; VZ:0.0616966581; AMGN:0.1053984576; HON:0.0051413882; IBM:0.1491002571; 
44452.7215654610,25621.6804197502,0.0000000000,AAPL:0.0030487805; V:0.0091463415; PG:0.0152439024; CVX:0.0091463415; HD:0.0030487805; MRK:0.1890243902; CSCO:0.3871951220; MCD:0.0030487805; VZ:0.0731707317; AMGN:0.1280487805; IBM:0.1768292683; CAT:0.0030487805; 
45158.2036987994,26764.3854359390,0.0000000000,AAPL:0.0064935065; MSFT:0.0032467532; JNJ:0.0032467532; V:0.0032467532; PG:0.0032467532; HD:0.0032467532; MRK:0.2012987013; KO:0.0064935065; CSCO:0.4123376623; VZ:0.0259740260; AMGN:0.1396103896; HON:0.0064935065; IBM:0.1753246753; CRM:0.0064935065; GS:0.0032467532; 
45577.2137545340,27265.0548635523,0.0000000000,MSFT:0.0032679739; JNJ:0.0032679739; V:0.0032679739; PG:0.0032679739; HD:0.0032679739; MRK:0.2026143791; KO:0.0065359477; CSCO:0.4150326797; VZ:0.0261437908; AMGN:0.1405228758; HON:0.0065359477; IBM:0.1764705882; CRM:0.0065359477; GS:0.0032679739; 
46161.2193480851,27751.7783556892,0.0000000000,V:0.0033670034; PG:0.0033670034; HD:0.0033670034; MRK:0.2087542088; CSCO:0.4107744108; VZ:0.0269360269; AMGN:0.1447811448; HON:0.0067340067; IBM:0.1818181818; CRM:0.0067340067; GS:0.0033670034; 
47751.5049053520,28645.4882354302,0.0000000000,UNH:0.0079051383; V:0.1383399209; PG:0.0197628458; CVX:0.0039525692; HD:0.0039525692; MRK:0.1185770751; CSCO:0.5019762846; MCD:0.0039525692; VZ:0.0079051383; AMGN:0.1383399209; IBM:0.0553359684; 
48996.0507458462,30102.6308811286,0.0000000000,JNJ:0.0039370079; V:0.0039370079; PG:0.0196850394; CVX:0.0039370079; HD:0.0039370079; MRK:0.2440944882; CSCO:0.5000000000; MCD:0.0039370079; VZ:0.0078740157; AMGN:0.1377952756; IBM:0.0551181102; TRV:0.0157480315; 
50251.4686578966,31731.7659065680,0.0000000000,V:0.0121457490; PG:0.0040485830; CVX:0.0040485830; HD:0.0040485830; MRK:0.2510121457; CSCO:0.5141700405; MCD:0.0040485830; VZ:0.0080971660; AMGN:0.1417004049; IBM:0.0566801619; 
52635.0513439657,33055.2092113784,0.0000000000,V:0.0139534884; PG:0.0046511628; CVX:0.0046511628; HD:0.0046511628; MRK:0.1395348837; CSCO:0.5906976744; VZ:0.0093023256; AMGN:0.1627906977; IBM:0.0651162791; GS:0.0046511628; 
55066.5022926118,33259.6258071230,0.0000000000,V:0.0143540670; JPM:0.0191387560; PG:0.0047846890; CVX:0.0047846890; HD:0.0047846890; MRK:0.1435406699; CSCO:0.6076555024; VZ:0.0191387560; AMGN:0.1674641148; IBM:0.0095693780; GS:0.0047846890; 
55418.6067941677,34369.9036100833,0.0000000000,V:0.0145631068; PG:0.0048543689; CVX:0.0048543689; HD:0.0048543689; MRK:0.1456310680; CSCO:0.6165048544; VZ:0.0242718447; AMGN:0.1699029126; IBM:0.0097087379; GS:0.0048543689; 
55749.8970782309,34524.0579324700,0.0000000000,V:0.0146341463; PG:0.0048780488; CVX:0.0048780488; HD:0.0048780488; MRK:0.1463414634; CSCO:0.6195121951; VZ:0.0195121951; AMGN:0.1707317073; IBM:0.0097560976; GS:0.0048780488; 
57404.1847732653,35557.5705481036,0.0000000000,V:0.0050000000; PG:0.0050000000; CVX:0.0050000000; HD:0.0050000000; MRK:0.1500000000; CSCO:0.6350000000; VZ:0.0200000000; AMGN:0.1750000000; 
59902.6530411014,35570.6364246069,0.0000000000,V:0.0173410405; PG:0.0057803468; CVX:0.0057803468; HD:0.0462427746; MRK:0.0115606936; CSCO:0.7341040462; AMGN:0.1791907514; 
60218.1636295418,36326.8578515264,0.0000000000,AAPL:0.0058479532; V:0.0175438596; PG:0.0058479532; CVX:0.0058479532; HD:0.0058479532; MRK:0.0233918129; CSCO:0.7426900585; VZ:0.0116959064; AMGN:0.1812865497; 
