Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,39572.17161429774569114670,21450.34600370030966587365,0.54205632717791318864,15,MSFT{9.2363636364%} UNH{9.2363636364%} WMT{9.2363636364%} CVX{8.0000000000%} MRK{9.2363636364%} CSCO{9.2363636364%} MCD{9.2363636364%} DIS{6.9090909091%} VZ{1.0909090909%} AMGN{5.8181818182%} HON{0.2909090909%} IBM{8.6545454545%} INTC{2.2545454545%} TRV{6.9090909091%} WBA{4.6545454545%} 
2,39572.25786806637188419700,21499.42533071232537622564,0.54329539149348660132,14,MSFT{9.2836257310%} UNH{9.2836257310%} WMT{9.2836257310%} CVX{7.8947368421%} MRK{9.2836257310%} CSCO{9.2836257310%} MCD{9.2836257310%} DIS{6.9444444444%} VZ{1.0964912281%} AMGN{5.8479532164%} IBM{8.6257309942%} INTC{2.2660818713%} TRV{6.9444444444%} WBA{4.6783625731%} 
3,39572.47761331392393913120,21518.98551110084372339770,0.54378666206790426951,15,MSFT{9.2565597668%} UNH{9.2565597668%} WMT{9.2565597668%} CVX{8.0174927114%} MRK{9.2565597668%} CSCO{9.2565597668%} MCD{9.2565597668%} DIS{6.9241982507%} VZ{1.0932944606%} AMGN{5.8309037901%} HON{0.0728862974%} IBM{8.6734693878%} INTC{2.2594752187%} TRV{6.9241982507%} WBA{4.6647230321%} 
4,39572.75736119664361467585,21523.22023820540562155657,0.54388982910021221873,14,MSFT{9.2700729927%} UNH{9.2700729927%} WMT{9.2700729927%} CVX{7.9562043796%} MRK{9.2700729927%} CSCO{9.2700729927%} MCD{9.2700729927%} DIS{6.9343065693%} VZ{1.0948905109%} AMGN{5.8394160584%} IBM{8.6861313869%} INTC{2.2627737226%} TRV{6.9343065693%} WBA{4.6715328467%} 
5,39572.96917665622459026054,21541.88016188716210308485,0.54435844997434623682,14,MSFT{9.2633114515%} UNH{9.2633114515%} WMT{9.2633114515%} CVX{8.0233406273%} MRK{9.2633114515%} CSCO{9.2633114515%} MCD{9.2633114515%} DIS{6.9292487236%} VZ{1.0940919037%} AMGN{5.8351568198%} IBM{8.6797957695%} INTC{2.2611232677%} TRV{6.9292487236%} WBA{4.6681254559%} 
6,39573.96235248282755492255,21552.13088575396250234917,0.54460381535188384650,14,MSFT{9.2565597668%} UNH{9.2565597668%} WMT{9.2565597668%} CVX{8.0174927114%} MRK{9.2565597668%} CSCO{9.2565597668%} MCD{9.2565597668%} DIS{6.9241982507%} VZ{1.0932944606%} AMGN{5.9037900875%} IBM{8.6734693878%} INTC{2.2594752187%} TRV{6.9241982507%} WBA{4.6647230321%} 
7,39574.09206747078860644251,21560.52125115638045826927,0.54481404688697210315,14,MSFT{9.2565597668%} UNH{9.2565597668%} WMT{9.2565597668%} CVX{8.0903790087%} MRK{9.2565597668%} CSCO{9.2565597668%} MCD{9.2565597668%} DIS{6.9241982507%} VZ{1.0932944606%} AMGN{5.8309037901%} IBM{8.6734693878%} INTC{2.2594752187%} TRV{6.9241982507%} WBA{4.6647230321%} 
8,39574.59204709980258485302,21570.86127428305553621612,0.54506844312154723031,14,MSFT{9.2498179170%} UNH{9.2498179170%} WMT{9.2498179170%} CVX{8.0844865259%} MRK{9.2498179170%} CSCO{9.2498179170%} MCD{9.2498179170%} DIS{6.9191551347%} VZ{1.0924981792%} AMGN{5.8994901675%} IBM{8.6671522214%} INTC{2.2578295703%} TRV{6.9191551347%} WBA{4.6613255645%} 
9,39575.08227156062639551237,21570.93606614242889918387,0.54506358112219754908,15,MSFT{9.2498179170%} UNH{9.2498179170%} WMT{9.2498179170%} CVX{8.0844865259%} MRK{9.2498179170%} CSCO{9.2498179170%} MCD{9.2498179170%} DIS{6.9191551347%} VZ{1.0924981792%} AMGN{5.8266569556%} IBM{8.6671522214%} INTC{2.2578295703%} AXP{0.0728332119%} TRV{6.9191551347%} WBA{4.6613255645%} 
10,39576.48011880888225277886,21581.99462303426116704941,0.54532375184061232520,14,MSFT{9.2363636364%} UNH{9.2363636364%} WMT{9.2363636364%} CVX{8.0000000000%} MRK{9.2363636364%} CSCO{9.2363636364%} MCD{9.2363636364%} DIS{6.9090909091%} VZ{1.0909090909%} AMGN{6.1090909091%} IBM{8.6545454545%} INTC{2.2545454545%} TRV{6.9090909091%} WBA{4.6545454545%} 
11,39577.34259776114777196199,21589.73558973175749997608,0.54550745888009843920,14,MSFT{9.2430858806%} UNH{9.2430858806%} WMT{9.2430858806%} CVX{8.1513828239%} MRK{9.2430858806%} CSCO{9.2430858806%} MCD{9.2430858806%} DIS{6.9141193595%} VZ{1.0917030568%} AMGN{5.8951965066%} IBM{8.6608442504%} INTC{2.2561863173%} TRV{6.9141193595%} WBA{4.6579330422%} 
12,39578.88832677010941551998,21602.63117715079715708271,0.54581197427264149802,14,MSFT{9.2296511628%} UNH{9.2296511628%} WMT{9.2296511628%} CVX{8.0668604651%} MRK{9.2296511628%} CSCO{9.2296511628%} MCD{9.2296511628%} DIS{6.9040697674%} VZ{1.0901162791%} AMGN{6.1046511628%} IBM{8.6482558140%} INTC{2.2529069767%} TRV{6.9040697674%} WBA{4.6511627907%} 
13,39579.90481119763717288151,21613.49025901944696670398,0.54607231528522337527,14,MSFT{9.2229484386%} UNH{9.2229484386%} WMT{9.2229484386%} CVX{8.0610021786%} MRK{9.2229484386%} CSCO{9.2229484386%} MCD{9.2229484386%} DIS{6.8990559187%} VZ{1.0893246187%} AMGN{6.1728395062%} IBM{8.6419753086%} INTC{2.2512708787%} TRV{6.8990559187%} WBA{4.6477850399%} 
14,39583.91817019079462625086,21614.88090194263349985704,0.54605208127729032430,15,MSFT{9.2229484386%} UNH{9.2229484386%} WMT{9.2229484386%} CVX{8.0610021786%} MRK{9.2229484386%} CSCO{9.2229484386%} MCD{9.2229484386%} DIS{6.8990559187%} VZ{1.0893246187%} AMGN{5.8823529412%} IBM{8.6419753086%} INTC{2.2512708787%} AXP{0.2904865650%} TRV{6.8990559187%} WBA{4.6477850399%} 
15,39584.16303227530443109572,21643.53567067529729683883,0.54677259824915447339,14,MSFT{9.2028985507%} UNH{9.2028985507%} WMT{9.2028985507%} CVX{8.0434782609%} MRK{9.2028985507%} CSCO{9.2028985507%} MCD{9.2028985507%} DIS{6.8840579710%} VZ{1.0869565217%} AMGN{6.3768115942%} IBM{8.6231884058%} INTC{2.2463768116%} TRV{6.8840579710%} WBA{4.6376811594%} 
16,39589.33804750232957303524,21692.23305735434769303538,0.54793118872880219872,14,MSFT{9.1763005780%} UNH{9.1763005780%} WMT{9.1763005780%} CVX{8.0924855491%} MRK{9.1763005780%} CSCO{9.1763005780%} MCD{9.1763005780%} DIS{6.8641618497%} VZ{1.0838150289%} AMGN{6.5751445087%} IBM{8.5982658960%} INTC{2.2398843931%} TRV{6.8641618497%} WBA{4.6242774566%} 
17,39591.23913779758731834590,21702.79179925994685618207,0.54817157209258404738,15,MSFT{9.1696750903%} UNH{9.1696750903%} WMT{9.1696750903%} CVX{8.0866425993%} MRK{9.1696750903%} CSCO{9.1696750903%} MCD{9.1696750903%} DIS{6.8592057762%} VZ{1.0830324910%} AMGN{6.5703971119%} IBM{8.5920577617%} INTC{2.2382671480%} AXP{0.0722021661%} TRV{6.8592057762%} WBA{4.6209386282%} 
18,39598.24048407820373540744,21732.85333950046333484352,0.54883381367005146245,14,MSFT{9.1498559078%} UNH{9.1498559078%} WMT{9.1498559078%} CVX{8.0691642651%} MRK{9.1498559078%} CSCO{9.1498559078%} MCD{9.1498559078%} DIS{6.8443804035%} VZ{1.0806916427%} AMGN{6.8443804035%} IBM{8.5734870317%} INTC{2.2334293948%} TRV{6.8443804035%} WBA{4.6109510086%} 
19,39601.44411121004668530077,21734.07965541168596246280,0.54882038125623267000,15,MSFT{9.1696750903%} UNH{9.1696750903%} WMT{9.1696750903%} CVX{8.0866425993%} MRK{9.1696750903%} CSCO{9.1696750903%} MCD{9.1696750903%} DIS{6.8592057762%} VZ{1.0830324910%} AMGN{6.5703971119%} IBM{8.5920577617%} INTC{2.2382671480%} MMM{0.0722021661%} TRV{6.8592057762%} WBA{4.6209386282%} 
20,39602.28802943784103263170,21749.72664893617547932081,0.54920378925502488787,14,MSFT{9.2229484386%} UNH{9.2229484386%} WMT{9.2229484386%} CVX{8.0610021786%} MRK{9.2229484386%} CSCO{9.2229484386%} MCD{9.2229484386%} DIS{6.8990559187%} VZ{0.7988380537%} AMGN{6.4633260712%} IBM{8.6419753086%} INTC{2.2512708787%} TRV{6.8990559187%} WBA{4.6477850399%} 
21,39605.08485354583535809070,21764.65063367253605974838,0.54954182560535413948,14,MSFT{9.2162554427%} UNH{9.2162554427%} WMT{9.2162554427%} CVX{8.0551523948%} MRK{9.2162554427%} CSCO{9.2162554427%} MCD{9.2162554427%} DIS{6.8940493469%} VZ{0.7982583454%} AMGN{6.6037735849%} IBM{8.5631349782%} INTC{2.2496371553%} TRV{6.8940493469%} WBA{4.6444121916%} 
