DailyRisk,ExpectedReturn
38550.9109530708374222740530968,-10974.9647404479492251994088292
38614.5878990828423411585390568,-8634.50582872199265693780034781
38615.6508772538145422004163265,-8399.14999736501704319380223751
38618.4169383673797710798680782,-8329.72247957840227172710001469
38628.8173067835086840204894543,-8231.83404216072267445269972086
38631.5427844256555545143783092,-8029.54674044798230170272290707
38632.050643690577999223023653,-8025.50691963112421944970265031
38632.6447974152542883530259132,-7912.35492753623566386522725224
38634.2909158575421315617859364,-7911.81924374175105185713618994
38634.3848271501337876543402672,-7906.55398682471422944217920303
38635.2005040336371166631579399,-7901.44269828721007797867059708
38635.8196136784317786805331707,-7850.76656916996307700173929334
38638.618026209478557575494051,-7837.15663768113881815224885941
38638.6523284716095076873898506,-7826.14154413699179713148623705
38639.6513207981188315898180008,-7803.38621607379536726512014866
38640.6785364634924917481839657,-7797.66582345189726765966042876
38642.5525384232387295924127102,-7792.89447694332375249359756708
38646.374663774025975726544857,-7785.63677997362174210138618946
38650.2467726962204324081540108,-7782.07660079049583146115764976
38650.5441660233773291110992432,-7756.41265349143122875830158591
38653.6186389358917949721217155,-7725.57164426878443919122219086
38653.6790484151424607262015343,-7722.83420816863235813798382878
38654.9998691173968836665153503,-7712.58069565212281304411590099
38656.8238671355065889656543732,-7684.74812911725348385516554117
38657.6022539121695444919168949,-7670.67237681159622297855094075
38660.480289728482603095471859,-7655.14032938075160927837714553
38661.5967679777677403762936592,-7648.83045849800419091479852796
38664.3951347586844349279999733,-7631.74056389984980341978371143
38666.7742326666921144351363182,-7623.23323583660931035410612822
38677.1107168608723441138863564,-7594.78727272724790964275598526
38682.094186282134614884853363,-7578.64302766793116461485624313
38686.4531032110317028127610683,-7565.1450250329171467456035316
38692.9878832267058896832168102,-7543.52869301712962624151259661
38701.9307240251291659660637379,-7506.68314097494203451788052917
38708.484568056403077207505703,-7498.07731752305880945641547441
38711.5085602891922462731599808,-7488.27425823451812902931123972
38717.2533890558697748929262161,-7462.09071673254675260977819562
38726.5666615902664489112794399,-7456.14693807642925094114616513
38735.5742299185149022378027439,-7400.9050039525491229142062366
38751.312104498138069175183773,-7355.55629512517134571680799127
38764.6448221031823777593672276,-7165.93843214757089299382641912
38772.9453421866928692907094955,-6842.39047430831851670518517494
38796.3206276043420075438916683,-6741.88999999998122802935540676
38823.7040468374107149429619312,-6709.01617918315332644851878285
38825.6946280667907558381557465,-6701.28496706190617260290309787
38831.2407516753009986132383347,-6670.72002371537291764980182052
38838.9109235186479054391384125,-6578.166332015794978360645473
38854.9087005535257048904895782,-6458.00133333335907082073390484
38856.0003078558656852692365646,-6456.09562055335118202492594719
38862.4280834822784527204930782,-6413.69635046115308796288445592
38863.3965415599741390906274319,-6402.4133412384844632470048964
38870.2170832451956812292337418,-6369.4075151514898607274517417
38871.45313773050293093547225,-6367.29482213440041959984228015
38873.931126113384380005300045,-6365.6167957839561495347879827
38874.3766504215818713419139385,-6353.88280368901178007945418358
38877.7531911610931274481117725,-6336.68255599474559858208522201
38881.6467446428941912017762661,-6333.82923847164875041926279664
38882.6129474900371860712766647,-6324.53930434778976632514968514
38887.3155608509332523681223392,-6310.72051646903946675593033433
