Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio{%}
1,1093.152826798571368,361.024280758555676,0.330259659864631,2,AMGN{1.010101010101010%} CASH{98.989898989898990%} 
2,1115.750301253710631,368.487314986120168,0.330259659864819,2,AMGN{1.030927835051546%} CASH{98.969072164948457%} 
3,1305.004149821711735,430.990226641996912,0.330259659864590,2,AMGN{1.204819277108434%} CASH{98.795180722891558%} 
4,1336.075677198118001,441.251898704901350,0.330259659864664,2,AMGN{1.234567901234568%} CASH{98.765432098765430%} 
5,1393.595936541478522,471.553667900107712,0.338371873464538,2,JPM{0.884955752212389%} CASH{99.115044247787608%} 
6,1443.413680863041918,476.701311285830627,0.330259659864664,2,AMGN{1.333333333333333%} CASH{98.666666666666671%} 
7,1482.959261160930282,489.761621184088824,0.330259659864614,2,AMGN{1.369863013698630%} CASH{98.630136986301366%} 
8,1496.278425602051129,551.142499999981510,0.368342208622183,3,JPM{1.219512195121951%} MRK{1.219512195121951%} CASH{97.560975609756099%} 
9,1658.405134024726067,610.783663274739297,0.368295810681947,3,JPM{1.351351351351351%} MRK{1.351351351351351%} CASH{97.297297297297305%} 
10,1832.091306541246922,674.816207215537133,0.368331100533141,3,JPM{1.492537313432836%} MRK{1.492537313432836%} CASH{97.014925373134332%} 
11,1861.162776247541387,685.754641535610972,0.368454952080131,3,JPM{1.515151515151515%} MRK{1.515151515151515%} CASH{96.969696969696969%} 
12,1871.277827804268554,770.275788621635797,0.411630906526300,2,MMM{0.952380952380952%} CASH{99.047619047619051%} 
13,1929.882117284703554,783.010864939892940,0.405729892995521,3,WMT{1.020408163265306%} CVX{1.020408163265306%} CASH{97.959183673469383%} 
14,1944.910198233469600,800.585148011100728,0.411630906526306,2,MMM{0.990099009900990%} CASH{99.009900990099013%} 
15,2026.159710431187250,834.029958371871658,0.411630906526308,2,MMM{1.030927835051546%} CASH{98.969072164948457%} 
16,2138.861219539464400,984.540129509705366,0.460310430857078,3,MRK{1.351351351351351%} MMM{1.351351351351351%} CASH{97.297297297297305%} 
17,2235.931486562408281,1037.139259944498463,0.463851091224190,3,UNH{1.219512195121951%} JPM{1.219512195121951%} CASH{97.560975609756099%} 
18,2261.564234138460506,1041.006443108251915,0.460303725799246,3,MRK{1.428571428571429%} MMM{1.428571428571429%} CASH{97.142857142857139%} 
19,2398.568082229062838,1104.068496762259656,0.460303172106007,3,MRK{1.515151515151515%} MMM{1.515151515151515%} CASH{96.969696969696969%} 
20,2404.489332709830705,1482.813748843652547,0.616685517657314,4,WMT{1.000000000000000%} CVX{1.000000000000000%} AMGN{2.000000000000000%} CASH{96.000000000000000%} 
21,2795.049396229759623,1678.993663274757182,0.600702680081272,4,WMT{1.492537313432836%} CVX{1.492537313432836%} AMGN{1.492537313432836%} CASH{95.522388059701484%} 
22,2861.952469859656503,1764.957525439396704,0.616697008083417,4,WMT{1.190476190476190%} CVX{1.190476190476190%} AMGN{2.380952380952381%} CASH{95.238095238095227%} 
23,3163.692811419759892,1951.140881128584169,0.616728929586870,4,WMT{1.315789473684210%} CVX{1.315789473684210%} AMGN{2.631578947368421%} CASH{94.736842105263150%} 
24,3165.891805646486773,2353.580490286787608,0.743417853411506,4,WMT{1.492537313432836%} CVX{1.492537313432836%} MMM{1.492537313432836%} CASH{95.522388059701484%} 
25,4126.898744414871544,2682.313876040683226,0.649958732249195,5,WMT{1.449275362318841%} CVX{1.449275362318841%} AMGN{2.898550724637681%} AXP{1.449275362318841%} CASH{92.753623188405797%} 
26,4798.555051652225302,2921.539463459769195,0.608837333741505,5,WMT{1.449275362318841%} JPM{1.449275362318841%} CVX{1.449275362318841%} AMGN{2.898550724637681%} CASH{92.753623188405797%} 
27,4902.318566222043046,2943.287044403324217,0.600386736325779,4,CVX{1.470588235294118%} AMGN{2.941176470588235%} MMM{1.470588235294118%} CASH{94.117647058823522%} 
28,5075.347838552670510,3322.332502312659471,0.654601932319989,5,WMT{1.449275362318841%} CVX{1.449275362318841%} AMGN{2.898550724637681%} MMM{1.449275362318841%} CASH{92.753623188405797%} 
29,5333.454669931285025,3509.570261332088194,0.658029453426911,4,WMT{1.470588235294118%} CVX{1.470588235294118%} MMM{2.941176470588235%} CASH{94.117647058823522%} 
30,5412.561584016904817,3548.258369565205612,0.655559907169109,4,UNH{1.470588235294118%} CVX{1.470588235294118%} MMM{2.941176470588235%} CASH{94.117647058823522%} 
31,5507.937937980866991,3961.526098519887455,0.719239421926407,4,WMT{5.555555555555555%} CVX{2.777777777777778%} AXP{2.777777777777778%} CASH{88.888888888888886%} 
32,6397.027749751410738,4395.205450971332539,0.687069936681474,4,WMT{6.837606837606838%} CVX{4.273504273504273%} CSCO{3.418803418803419%} CASH{85.470085470085465%} 
33,7167.744193032138355,4668.557948658637542,0.651328761592386,5,V{1.680672268907563%} WMT{6.722689075630252%} CVX{4.201680672268908%} CSCO{3.361344537815126%} CASH{84.033613445378151%} 
34,7409.439122886483347,5091.266221091571424,0.687132472060608,4,WMT{7.920792079207921%} CVX{4.950495049504950%} CSCO{3.960396039603960%} CASH{83.168316831683171%} 
35,8047.077078447628992,5529.290508788158149,0.687117875830614,4,WMT{8.602150537634410%} CVX{5.376344086021505%} CSCO{4.301075268817205%} CASH{81.720430107526880%} 
36,8184.238301389178559,5725.904123496748070,0.699625782221522,5,WMT{9.195402298850574%} CVX{5.747126436781609%} MRK{2.298850574712644%} CSCO{4.597701149425287%} CASH{78.160919540229884%} 
37,8200.314155931613641,5726.474111933403037,0.698323747486091,5,WMT{9.195402298850574%} CVX{5.747126436781609%} CSCO{4.597701149425287%} MCD{2.298850574712644%} CASH{78.160919540229884%} 
38,8296.484016677328327,5886.807282608706373,0.709554465575445,5,WMT{9.302325581395349%} CVX{5.813953488372093%} CSCO{4.651162790697675%} MCD{1.162790697674419%} CASH{79.069767441860463%} 
39,8339.424191789006727,6295.191526364474157,0.754871245494709,5,WMT{9.302325581395349%} CVX{5.813953488372093%} CSCO{4.651162790697675%} IBM{1.162790697674419%} CASH{79.069767441860463%} 
40,8544.830313991649746,6655.339782608692985,0.778873252955178,5,UNH{0.689655172413793%} WMT{11.034482758620690%} CVX{5.517241379310345%} CSCO{5.517241379310345%} CASH{77.241379310344826%} 
41,8748.681112169397238,6860.642997224804276,0.784191686639677,6,UNH{0.684931506849315%} WMT{10.958904109589040%} CVX{5.479452054794520%} CSCO{5.479452054794520%} AXP{0.684931506849315%} CASH{76.712328767123282%} 
42,9297.946200037178642,6958.015275208140338,0.748338947710874,6,UNH{2.247191011235955%} V{2.247191011235955%} WMT{8.988764044943821%} CVX{5.617977528089887%} CSCO{4.494382022471910%} CASH{76.404494382022463%} 
43,9688.645851824987403,6993.337382053657166,0.721807514590531,6,UNH{1.190476190476190%} V{2.380952380952381%} WMT{9.523809523809524%} CVX{5.952380952380952%} CSCO{4.761904761904762%} CASH{76.190476190476190%} 
44,9734.962859635634231,7285.946068455124077,0.748430802819501,6,UNH{2.352941176470588%} V{2.352941176470588%} WMT{9.411764705882353%} CVX{5.882352941176470%} CSCO{4.705882352941177%} CASH{75.294117647058826%} 
45,9735.744023273615312,7386.231736817780984,0.758671522090223,5,WMT{8.988764044943821%} CVX{5.617977528089887%} CSCO{4.494382022471910%} AMGN{4.494382022471910%} CASH{76.404494382022463%} 
46,9825.838863998775196,7706.101894079567501,0.784269109308745,6,UNH{0.769230769230769%} WMT{12.307692307692308%} CVX{6.153846153846154%} CSCO{6.153846153846154%} AXP{0.769230769230769%} CASH{73.846153846153854%} 
47,10267.981228083428505,7771.151833950034415,0.756833467195631,5,WMT{9.195402298850574%} CVX{5.747126436781609%} CSCO{4.597701149425287%} MMM{2.298850574712644%} CASH{78.160919540229884%} 
48,10697.531565746479828,8089.786107770576564,0.756229234571655,5,UNH{0.689655172413793%} WMT{11.034482758620690%} CVX{5.517241379310345%} AXP{5.517241379310345%} CASH{77.241379310344826%} 
49,11181.033967186693189,8287.159169750235378,0.741180037022587,5,UNH{0.684931506849315%} WMT{10.958904109589040%} CVX{5.479452054794520%} AXP{6.164383561643835%} CASH{76.712328767123282%} 
50,11184.340519621271596,8433.967759019436926,0.754087176103346,5,UNH{0.793650793650794%} WMT{12.698412698412698%} CVX{6.349206349206349%} AXP{3.968253968253968%} CASH{76.190476190476190%} 
51,11205.199529120132866,8787.261998149862848,0.784212898245451,6,UNH{0.877192982456140%} WMT{14.035087719298245%} CVX{7.017543859649122%} CSCO{7.017543859649122%} AXP{0.877192982456140%} CASH{70.175438596491219%} 
52,12151.330380073941342,8973.226778445883610,0.738456325174107,4,WMT{15.384615384615385%} CVX{7.692307692307693%} CSCO{7.692307692307693%} CASH{69.230769230769226%} 
53,12541.823922784527895,9002.325982886222846,0.717784433772176,5,UNH{0.689655172413793%} WMT{11.034482758620690%} JPM{5.517241379310345%} CVX{5.517241379310345%} CASH{77.241379310344826%} 
54,12554.451022243907573,9306.686392229419653,0.741305723025235,5,UNH{0.769230769230769%} WMT{12.307692307692308%} CVX{6.153846153846154%} AXP{6.923076923076923%} CASH{73.846153846153854%} 
55,12637.927792599573877,9332.566762257170922,0.738457041012852,4,WMT{16.000000000000000%} CVX{8.000000000000000%} CSCO{8.000000000000000%} CASH{68.000000000000000%} 
56,12811.835646887877374,9661.240321461596977,0.754087125977799,5,UNH{0.909090909090909%} WMT{14.545454545454545%} CVX{7.272727272727272%} AXP{4.545454545454546%} CASH{72.727272727272734%} 
57,13164.442081584254993,9721.378637835341578,0.738457321441262,4,WMT{16.666666666666664%} CVX{8.333333333333332%} CSCO{8.333333333333332%} CASH{66.666666666666657%} 
58,13247.779689166698518,9836.113635522671757,0.742472615510515,6,UNH{0.793650793650794%} WMT{12.698412698412698%} CVX{6.349206349206349%} AXP{0.793650793650794%} MMM{3.174603174603174%} CASH{76.190476190476190%} 
59,13507.593790437576899,9967.663963922301264,0.737930390753881,5,WMT{17.204301075268820%} CVX{8.602150537634410%} CSCO{4.301075268817205%} AXP{1.075268817204301%} CASH{68.817204301075279%} 
60,13544.536028320544574,10000.164331637382929,0.738317230706747,5,WMT{16.494845360824741%} CVX{8.247422680412370%} CSCO{8.247422680412370%} AXP{1.030927835051546%} CASH{65.979381443298962%} 
61,14198.801620129457660,10261.514451896397077,0.722702853834424,6,UNH{0.909090909090909%} WMT{14.545454545454545%} JPM{3.636363636363636%} CVX{7.272727272727272%} AXP{0.909090909090909%} CASH{72.727272727272734%} 
