Risk,Expected Return
30567.40829888444932294078,3853.56828450620832882123
31177.86890490024234168231,6726.42023557840911962558
31359.52643927418466773815,7227.45476895199954014970
32098.22502948892361018807,8146.78994563579271925846
33933.57639321252645459026,9086.26502265177623485215
34258.97474274601700017229,10820.82543642409291351214
35591.57406904330855468288,11119.13778314709998085164
36056.95746377123577985913,12519.77714285712136188522
36557.26713311959611019120,13141.09974932043223816436
38239.13113411268568597734,13826.72491090305629768409
39227.23096544930740492418,14261.81833282998741196934
39989.95205093273398233578,14862.13666868013751809485
41886.55965356801607413217,15897.03515856235026149079
43386.31682556454325094819,16728.75846874056878732517
44851.68363835880154510960,17350.67852310477610444650
45877.88710889810317894444,17816.03854122617121902294
46986.75255239282705588266,18128.52475687100013601594
49087.74520683362788986415,19266.56225007554530748166
49638.22201261741429334506,19674.69708547264963272028
50914.25493866985925706103,20308.64372999089755467139
51040.04200076487177284434,20562.34271519177855225280
52684.92422293716663261876,21238.84441256423087907024
54673.26268788701418088749,21788.56751132593853981234
54771.55400865529372822493,21880.08052250079708755948
56287.62279350878088735044,22658.32141951073936070316
57885.98627063843741780147,23106.43814255511097144336
57921.97137529685278423131,23138.25888251280412077904
59613.68112072448275284842,23657.34550286923695239238
60152.23769575094775063917,24094.47688311682213679887
62284.34909529317519627512,24327.14998187855962896720
62338.71829521348990965635,24829.75408335849715513177
63550.29724009944766294211,25207.39515856239449931309
66207.02146409226406831294,25794.55419812743639340624
66597.92058814188931137323,26271.36350649353698827326
68449.81904162208957131952,27110.19006342501234030351
71981.21193188613688107580,27598.99533071582482079975
72533.74661741702584549785,28245.75084566593068302609
74855.65075288948719389737,28264.81288734515328542329
75107.52926936016592662781,29016.82285412261626333930
76403.65127965738065540791,29475.03672606465988792479
76943.11824583940324373543,29612.82819087884854525328
77885.38184064894448965788,30045.34247659321408718824
78926.53942604950862005353,30369.40280579878526623361
80165.81537250353721901774,30680.75442162488980102353
82345.63666581641882658005,31361.65596496529178693891
82921.47182459509349428117,31521.32146783439020509832
83862.91200238194142002612,31866.18121111449727322906
85133.45887489456799812615,32306.86631229232807527296
85997.13258299753942992538,32915.18818483842187561095
87775.73676079920551273972,33526.81454243432381190360
88576.52254256466403603554,33751.91264874655462335795
90158.16077803859661798924,34429.60802778612560359761
92396.87764459369645919651,34668.96231350042944541201
96135.04185049932857509702,36074.63310178187384735793
97370.98778949462575837970,36618.79139836909598670900
98534.50919061631429940462,36730.58172153424675343558
99371.75147002919402439147,37440.08377831470716046169
101585.70122348528821021318,37858.90753548778593540192
101789.04269354580901563168,38121.86938387194823008031
103130.79145762605185154825,38552.21385382064181612805
105227.06972165593469981104,38884.16709755360352573916
106065.09311687499575782567,39422.98353367560048354790
107710.92400403019564691931,39779.97765327695378800854
108856.53221948060672730207,40164.58201751735759899020
110128.39731120374926831573,40276.00927816366311162710
110402.04238482734945137054,40649.90445786772033898160
112628.30496234462771099061,41273.94613711868441896513
115138.10252120567020028830,42174.00141951073601376265
119004.99244734662352129817,42174.17677438844111748040
119519.40524679678492248058,42702.32324071272159926593
120374.20470385217049624771,43464.32943219569278880954
121818.87374819960677996278,43920.23156750227644806728
123185.88582089933333918452,44595.27045303530758246779
123958.60545728968281764537,44808.96517668381420662627
125406.39585790269484277815,45421.29568408326304052025
127303.20912185451015830040,45764.80544850492879049852
128224.68459455053380224854,45906.37228329804929671809
128727.28242028527893126011,46364.27294170946697704494
130782.85199715470662340522,46518.50814255510340444744
132368.79604556492995470762,46911.59528541224426589906
132904.81703414395451545715,47472.56504681364458519965
133804.63806161540560424328,47484.89808819082827540115
135255.04484596225665882230,48061.00937179102766094729
137799.45191083927056752145,48769.25730897007451858371
140466.11624598156777210534,49482.26140742981078801677
142262.75466849838267080486,49978.91088492902053985745
143069.44572591804899275303,50011.74029296284425072372
143893.20033562998287379742,50473.97957414678239729255
145125.57189019882935099304,50969.91799758375418605283
146255.31445772916777059436,51299.15140440950926858932
147323.92225370448431931436,51752.32100271817762404680
148597.00410045997705310583,52213.72099365750182187185
149914.04268352373037487268,52608.50551495020044967532
151433.42801957722986117005,53222.53190878887107828632
152135.87859317925176583230,53316.02361522198771126568
154601.87513637664960697293,54211.17188764726597582921
155871.21415518515277653933,54547.53792207788501400501
