DailyRisk,ExpectedReturn
16782.1912871655549679417163134,21627.5279721254737523850053549
17123.2917542880422843154519796,22152.8684390244525275193154812
17390.5933317357557825744152069,22823.5606933797898818738758564
17807.8077226398090715520083904,23848.0586968641619023401290178
17937.04198006954538868740201,24107.5356620208949607331305742
18308.0448713092773687094449997,24698.3463031358587613794952631
18786.7861093557003187015652657,25151.9486968641067505814135075
19144.0250398921343730762600899,25490.2000383275517378933727741
19627.9050624762639927212148905,26167.690804877991467947140336
19999.4914242978375114034861326,26590.3984738676117558497935534
20273.5737770559680939186364412,26933.0550174215677543543279171
20613.5240527360147098079323769,27091.2978606271681201178580523
21117.9074950456233636941760778,27537.2288919861093745566904545
21683.8715768704641959629952908,28247.5150278745713876560330391
22133.743782052049937192350626,28620.1333728222416539210826159
22421.6027836559369461610913277,28916.34489547040357138030231
23104.1729023424159095156937838,29261.9997909407902625389397144
23608.1511378045761375688016415,29563.0950522648345213383436203
23886.2144055867247516289353371,29972.3859616724766965489834547
24165.9402047070943808648735285,30152.916418118475121445953846
24876.7665903628367232158780098,30690.5241846689532394520938396
25157.3171133828764141071587801,30901.0738815330623765476047993
25754.7149607402607216499745846,31230.51075261320511344820261
26285.5575214751661405898630619,31541.1853658536056173034012318
26563.8582039485045243054628372,31800.482090592358872527256608
27079.4082389465584128629416227,32096.6312717769687878899276257
27898.7299930723602301441133022,32431.2156759582030645105987787
28261.7637605810305103659629822,32605.4211219512217212468385696
28946.0829664117300126235932112,32880.4377421602766844443976879
29424.7843014041791320778429508,33264.4660104529466480016708374
29876.3066766192496288567781448,33476.0819442509018699638545513
30273.4177281667252827901393175,33730.591104529587028082460165
31174.9329114563697658013552427,34104.007749128919385839253664
31653.1491874475941585842519999,34480.0660662021036841906607151
32827.9439275643526343628764153,34911.3461463414641912095248699
33081.9850090511172311380505562,35449.1093414633869542740285397
33694.3211107519455254077911377,35733.4358432055523735471069813
34131.6120833343666163273155689,35969.3221219512633979320526123
34670.5131895990271004848182201,36085.6352229965268634259700775
35373.8586976313672494143247604,36342.4571149826224427670240402
36555.8135505629543331451714039,36512.1033414634075597859919071
37529.6565361881803255528211594,36604.8483658536570146679878235
38957.1710603260071366094052792,36826.7120069686861825175583363
40067.0820386841660365462303162,37024.6699268292795750312507153
40978.2245516869443235918879509,37384.5816898954508360475301743
41636.4649374710425036028027534,37526.3346515679222648032009602
42948.0377043504922767169773579,37787.2224912891979329288005829
44095.3790910358948167413473129,38124.7944738676087581552565098
45075.9746663054975215345621109,38624.1821080139998230151832104
45777.478632515550998505204916,38728.4798118466569576412439346
47504.1690522301360033452510834,38923.4519198606212739832699299
48997.9190865788186783902347088,39202.7597491289270692504942417
49824.8404081418630084954202175,39419.0168885017556021921336651
50345.8119327115782652981579304,39611.1885121951563633047044277
50806.6211352808459196239709854,39888.3260975609809975139796734
51655.9610537188127636909484863,40052.7623449477614485658705235
52220.1215175442048348486423492,40474.1247665504924952983856201
53108.3965479019097983837127686,40585.2089965156847028993070126
55211.8016643309529172256588936,40878.4652648083138046786189079
57496.0105289955972693860530853,41050.3114459930584416724741459
58105.948463225780869834125042,41398.7338850173982791602611542
59211.2556434572543366812169552,41749.0838536585142719559371471
59678.5841837056796066462993622,42022.3959303135634399950504303
60619.5275434239229070954024792,42608.3663519163965247571468353
63919.4830292102851672098040581,42806.2065296167056658305227757
65660.8469993361359229311347008,43015.5643937281638500280678272
66106.1665876168408431112766266,43185.395121951230976264923811
67369.6118822587304748594760895,43565.3450104530347744002938271
70342.1848092624713899567723274,43869.680829268261732067912817
73465.3552916655462468042969704,44198.0120104529487434774637222
75007.0881163073645438998937607,44630.6506968641333514824509621
75432.6682649817666970193386078,44779.0682195121480617672204971
81596.556428151132422499358654,44936.0011080139229306951165199
82972.4924278852122370153665543,45293.8047142856448772363364697
83447.659579359722556546330452,45449.6337491288722958415746689
84680.4906121701205847784876823,45818.1509163763184915296733379
85359.7111954904394224286079407,46166.0039442508350475691258907
90183.2137735624855849891901016,46244.9752299651663633994758129
92659.5276950189727358520030975,46460.7235749129104078747332096
93443.2172776125953532755374908,46604.4750662021106109023094177
98232.2104255729645956307649612,46721.8953937281694379635155201
99361.4416296049457741901278496,46956.57911498258181381970644
100237.929010293970350176095963,47541.9502578397004981525242329
107988.811700308244326151907444,47759.1828466898368787951767445
108765.688266973796999081969261,48121.7739686410423018969595432
109802.915658951067598536610603,48211.6880836236596223898231983
111298.526316581657738424837589,48542.8956864111751201562583447
113914.328446053987136110663414,48837.3869721254595788195729256
117859.762917071420815773308277,49072.5781846689860685728490353
118592.02227100719755981117487,49322.3285296167014166712760925
120172.600702989948331378400326,49465.2862055748992133885622025
120972.920181548499385826289654,49764.3620383275192580185830593
125330.456052062683738768100739,49856.6477351916400948539376259
131492.762964251625817269086838,50078.4330418118406669236719608
132402.15138326605665497481823,50308.8321498258083011023700237
133863.872242612036643549799919,50501.6200174215991864912211895
137641.914004787307931110262871,50943.0005818815261591225862503
139437.451412783033447340130806,51227.4891463415115140378475189
141223.815875593834789469838142,51345.7999094076076289638876915
144369.036065283726202324032784,51735.3547491288845776580274105
Runtime,2165
