Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,12512.24761953959932725411,9274.48139721254483447410,0.74123224533449638685,15,9433.T 4063.T 6501.T 4502.T 8766.T 2914.T 9022.T MSFT UNH JNJ WMT PG KO AMGN IBM 
2,12702.73306907884762040339,10012.88517421603501134086,0.78824652299350650431,15,9432.T 4063.T 6501.T 4502.T 8766.T 2914.T 9022.T MSFT UNH JNJ WMT PG KO AMGN IBM 
3,12849.20690373599427402951,10714.50410871083113306668,0.83386501509252808351,14,6501.T 4502.T 8766.T 2914.T 6702.T 9022.T MSFT UNH JNJ WMT PG KO AMGN IBM 
4,13228.11399398357389145531,12496.39811428575558238663,0.94468479179793751754,14,9432.T 6501.T 8058.T 4502.T 8766.T 9022.T MSFT JNJ WMT PG KO AMGN IBM WBA 
5,13431.99799217034342291299,12803.93597491292712220456,0.95324135563275691485,14,6501.T 8058.T 4502.T 8766.T 2914.T 9022.T MSFT JNJ WMT PG KO AMGN IBM WBA 
6,13507.83878982634632848203,13597.26203135890864359681,1.00662009984897893311,13,6501.T 4502.T 8766.T 2914.T 6702.T 9022.T MSFT UNH JNJ WMT PG KO AMGN 
7,13564.07864352268006769009,13612.14141324042793712579,1.00354338624693095738,12,6501.T 4502.T 8766.T 2914.T 6702.T 9022.T MSFT UNH JNJ WMT PG AMGN 
8,14214.78648137140953622293,15227.71799860626197187230,1.07125900333165802181,12,9432.T 6501.T 8058.T 4502.T 2914.T 9022.T MSFT JNJ WMT PG AMGN WBA 
9,15203.31562522899912437424,15513.11429616729947156273,1.02037704659792805018,13,9432.T 6501.T 8058.T 4502.T 8766.T 9022.T MSFT JNJ WMT PG KO AMGN WBA 
10,15274.61257474365993402898,15686.95824250870100513566,1.02699549109656951273,12,9432.T 6501.T 8058.T 4502.T 8766.T 9022.T MSFT JNJ WMT PG AMGN WBA 
11,15342.46494390264160756487,17115.02234703829526551999,1.11553276540743206979,10,6501.T 8058.T 4502.T 2914.T 9022.T MSFT JNJ WMT PG AMGN 
12,17233.57980457770099746995,18601.42198466899571940303,1.07937075149806993579,12,9432.T 6501.T 8058.T 4502.T 2914.T 9022.T MSFT JNJ WMT PG MRK AMGN 
13,18088.08087297331439913251,19231.81231707316328538582,1.06323122127393721037,11,9432.T 6501.T 4502.T 8766.T 2914.T 9022.T MSFT JNJ PG MRK AMGN 
14,18540.02491556823588325642,19700.71494982577496557496,1.06260455633384265361,12,9432.T 6501.T 4502.T 8766.T 2914.T 7733.T 9022.T MSFT JNJ WMT PG MRK 
15,19126.72033796107643865980,19816.97213937282504048198,1.03608835122881970392,13,6501.T 4502.T 4519.T 8766.T 2914.T 8411.T 9022.T MSFT UNH JNJ WMT PG MRK 
16,19197.70569101357250474393,19990.76237282233705627732,1.04130997185668872085,13,6501.T 4502.T 4519.T 8766.T 2914.T 7733.T 9022.T MSFT JNJ WMT PG MRK KO 
17,19248.36280354339760378934,20540.79191149825055617839,1.06714488505572702159,12,6501.T 4502.T 4519.T 8766.T 2914.T 7733.T 9022.T MSFT JNJ WMT PG MRK 
18,19558.14460360045268316753,20590.44016724738321499899,1.05278085342803406910,11,9432.T 6501.T 4502.T 8766.T 2914.T 7733.T 9022.T MSFT JNJ PG MRK 
19,19618.11926864416818716563,21223.00638885015359846875,1.08180636982725930650,10,8058.T 4502.T 2914.T 8411.T 9022.T MSFT JNJ WMT PG MRK 
20,20715.35254847797114052810,21448.76227142853531404398,1.03540416322793649151,10,8058.T 8316.T 4502.T 2914.T 9022.T MSFT JNJ WMT PG MRK 
21,21003.25298652300625690259,22311.40017421604716219008,1.06228307531849619494,8,6501.T 4502.T 8766.T 9022.T MSFT JNJ PG MRK 
22,22057.00598448923483374529,22451.97735191639731056057,1.01790684409773990460,8,6501.T 4502.T 8766.T 2914.T MSFT JNJ PG MRK 
23,22665.20214684698294149712,22688.74203205572121078148,1.00103859145205165149,10,9432.T 6501.T 4502.T 8766.T 4503.T MSFT JNJ WMT PG MRK 
