Non-Dominant Set,Risk,Profit,TrendRaio,# of Portfolio,Portfolio
1,19901.69050253474051714875,22949.07420906566039775498,1.15312185194231586749,15,8306.T 9984.T 8058.T 4502.T 2914.T MSFT UNH JNJ WMT JPM PG KO MCD DIS AXP 
2,20074.65391287022794131190,24197.99493061980319907889,1.20540035388137001249,17,9432.T 8306.T 9984.T 8058.T 2914.T MSFT UNH JNJ V WMT PG CVX MRK KO MCD DIS AXP 
3,20216.76815043392343795858,24310.89168362627242458984,1.20251127691269865672,18,9432.T 8306.T 9984.T 8058.T 4502.T 2914.T MSFT UNH JNJ WMT PG CVX HD KO MCD DIS VZ AXP 
4,20457.77742704676711582579,26935.23225023128179600462,1.31662553990937536419,18,9432.T 8306.T 9984.T 8058.T 4502.T 2914.T UNH JNJ V WMT JPM PG MRK KO MCD DIS IBM AXP 
5,20770.03670229606359498575,27575.17666743757581571117,1.32764217332313250175,18,9432.T 8306.T 9984.T 8058.T 4502.T 2914.T MSFT UNH JNJ WMT JPM PG MRK KO MCD DIS IBM AXP 
6,20824.46989106290129711851,28982.23998381131241330877,1.39173962820774743676,17,9432.T 8306.T 8058.T 4502.T 2914.T MSFT UNH JNJ V WMT PG MRK KO MCD DIS IBM AXP 
7,21160.33165706521322135814,29416.59314986130993929692,1.39017637467130228401,17,9432.T 8306.T 9984.T 8058.T 4502.T 2914.T MSFT UNH JNJ WMT JPM PG MRK KO DIS IBM AXP 
8,21466.77814852465962758288,30209.98683163740861346014,1.40729021479702764985,17,9432.T 8306.T 8058.T 4502.T 2914.T 5108.T MSFT UNH JNJ WMT PG MRK KO MCD DIS IBM AXP 
9,21480.38436645483670872636,31097.03549259939609328285,1.44769455527818879936,12,8306.T 9984.T 8058.T 2914.T MSFT JNJ WMT PG MRK KO DIS AXP 
10,21593.07339322459301911294,31625.00522895466201589443,1.46459027175250833253,10,9432.T 8306.T 8058.T V WMT PG MRK KO MCD AXP 
11,21806.62630009018539567478,32720.47317761331578367390,1.50048305168039641799,9,9432.T 8306.T 8058.T WMT PG MRK KO MCD AXP 
12,22411.21165103129169438034,33367.30655411657062359154,1.48886669197919574437,10,9432.T 8306.T 8058.T MSFT JNJ WMT PG MRK MCD AXP 
13,22494.13534724128112429753,34100.78394542087335139513,1.51598554107584537753,12,8306.T 8035.T 8058.T 4502.T 2914.T MSFT UNH WMT PG MRK DIS AXP 
14,22689.83060481692518806085,35707.02920675301720621064,1.57370188560035395575,8,9432.T 8306.T 8058.T WMT PG MRK MCD AXP 
15,22754.58137900918154628016,36483.74893154482560930774,1.60335838853096324108,10,9432.T 8306.T 8058.T MSFT WMT PG MRK MCD AMGN AXP 
16,23294.58446945563628105447,37491.37747456057695671916,1.60944607205679424133,9,9432.T 8306.T 8058.T MSFT JNJ WMT PG MRK AXP 
17,24138.03838727364200167358,38031.72228954670572420582,1.57559291601749484890,10,9432.T 8306.T 8058.T 5108.T MSFT JNJ WMT PG MRK AXP 
18,24688.29686144790321122855,39035.66554579092917265370,1.58114047983387662200,10,9432.T 8306.T 8058.T MSFT V WMT PG MRK AMGN AXP 
19,24937.28904742044687736779,40654.63445420905918581411,1.63027482164964676592,11,9432.T 8306.T 8058.T 2914.T MSFT WMT PG MRK AMGN AXP TRV 
20,25044.47525363574823131785,41148.16466697501891758293,1.64300366648734130770,10,9432.T 8306.T 8058.T 5108.T MSFT WMT PG MRK AMGN AXP 
21,26511.37394777591180172749,42247.59212765953998314217,1.59356479263888806130,10,8306.T 6501.T 8058.T 5108.T MSFT JNJ WMT MRK VZ AXP 
22,27379.79746868744769017212,43480.22896623498672852293,1.58804056224157941202,12,9432.T 8306.T 8035.T 8031.T 7267.T 2914.T MSFT WMT MRK VZ AMGN AXP 
23,27680.22898126415020669810,43533.09633209989260649309,1.57271445845213331260,9,9432.T 8306.T 8058.T 5108.T MSFT PG MRK AMGN AXP 
24,27818.70203115338154020719,44071.67814292322873370722,1.58424638552757057752,12,9432.T 8306.T 8001.T 2914.T 5108.T MSFT WMT MRK VZ AMGN AXP TRV 
25,27900.09449513914660201408,44238.36594819608581019565,1.58559914397076506809,10,8306.T 8058.T 8001.T 5108.T MSFT JNJ WMT MRK VZ AXP 
26,28561.01277920946085941978,45423.07952358926559099928,1.59038756344993070790,11,9432.T 8306.T 6501.T 8058.T 5108.T MSFT WMT MRK VZ AMGN AXP 
27,29803.69759244534725439735,45675.75945883438544115052,1.53255344633520551589,10,9432.T 8306.T 6501.T 8058.T MSFT WMT MRK VZ AMGN AXP 
28,30552.89614454699767520651,45990.57583024980704067275,1.50527713028141474361,12,8306.T 8058.T 8001.T 2914.T 5108.T MSFT WMT MRK VZ AMGN AXP TRV 
29,30879.29154519341318518855,46524.97608233112987363711,1.50667239286365961526,11,9432.T 8306.T 8001.T 7267.T MSFT WMT MRK VZ AMGN AXP TRV 
30,30974.90354994028166402131,47063.87293940794188529253,1.51941951533530050789,11,8306.T 8035.T 8058.T 8001.T 2914.T 5108.T WMT MRK VZ AMGN AXP 
31,30980.77567850632112822495,47354.80832562438445165753,1.52852235906016886702,10,8306.T 8058.T 8001.T 5108.T MSFT WMT MRK VZ AMGN AXP 
32,31855.03161630577233154327,47458.51224791859567631036,1.48982781808402919843,11,8306.T 8058.T 8001.T 6902.T 5108.T MSFT WMT MRK VZ AMGN AXP 
33,32018.05355842792778275907,47555.18795328399573918432,1.48526167796250430087,10,8306.T 8035.T 8058.T 8001.T 2914.T WMT MRK VZ AMGN AXP 
34,32349.72520557363532134332,47823.99385060128406621516,1.47834312491660790911,10,9432.T 8306.T 8035.T 8001.T 7267.T WMT MRK VZ AMGN AXP 
35,32808.78777237387839704752,48245.63146623496868414804,1.47050941963968084814,11,7203.T 8306.T 6501.T 8058.T 5108.T MSFT WMT MRK VZ AMGN AXP 
36,32965.45943015096418093890,48846.65413043478474719450,1.48175256692338153108,11,8306.T 6501.T 8058.T 8001.T 5108.T MSFT WMT MRK VZ AMGN AXP 
37,33881.64303103571000974625,49289.76611239591875346377,1.45476316090238921852,8,8306.T 8058.T 8001.T 5108.T WMT MRK VZ AXP 
38,34742.19054767706984421238,49514.11521276593703078106,1.42518691056101376446,11,8306.T 6501.T 8058.T 8001.T MSFT WMT MRK VZ AMGN AXP TRV 
39,34812.47092159112071385607,50129.95414199815422762185,1.43999988552685409537,10,8306.T 8035.T 8058.T 8001.T 7267.T WMT MRK VZ AMGN AXP 
40,36083.92494669714506017044,50376.14831406102166511118,1.39608283712141134636,11,8306.T 6501.T 8058.T 8001.T 5108.T WMT MRK VZ AMGN AXP TRV 
41,36108.73053703043115092441,50418.44869102680968353525,1.39629524331577914431,9,8306.T 8058.T 8001.T 5108.T MSFT MRK VZ AMGN AXP 
42,36275.24216340559360105544,50508.26502775206608930603,1.39236189796424625342,10,8306.T 6501.T 8058.T 6902.T 5108.T WMT MRK VZ AMGN IBM 
