CSCO,AXP,GS,DD,MSFT,AAPL,TRV,UNH,VZ,PG,CAT,JPM,JNJ,MMM,NKE,HON,CVX,MRK,AMGN,CRM,WBA,KO,HD,V,BA,DIS,IBM,INTC,MCD,WMT
58.120,268.540,553.830,66.050,425.400,213.320,261.450,400.680,43.300,159.980,313.960,246.890,154.460,137.900,56.760,210.740,136.260,83.260,283.780,269.330,10.930,71.290,358.300,342.450,182.890,90.810,239.660,19.980,313.640,97.410
59.330,276.850,566.100,67.250,435.280,205.350,267.410,399.920,43.740,160.520,323.680,252.510,156.120,142.080,58.590,214.130,138.500,83.180,281.220,275.080,10.980,71.650,364.520,347.600,185.460,92.490,245.550,20.620,311.960,98.750
59.320,278.030,559.560,65.310,436.170,198.890,267.540,404.810,43.540,158.830,323.110,252.560,155.000,140.800,57.350,214.250,135.500,82.840,280.060,272.630,11.000,71.700,361.730,348.640,186.460,92.110,249.180,20.270,315.720,99.330
59.220,275.370,549.360,65.040,433.310,198.510,268.050,394.510,44.150,159.250,320.890,249.250,154.470,138.020,57.040,209.930,135.600,79.040,270.440,273.360,10.990,71.720,359.380,347.700,185.960,92.170,249.120,19.940,316.790,98.550
59.570,276.240,551.920,64.560,433.350,196.250,268.860,391.060,43.890,159.290,320.290,249.390,157.300,138.640,58.620,214.610,135.790,79.120,275.840,278.230,11.050,72.400,362.750,349.850,185.560,102.090,253.370,20.310,318.130,98.830
59.710,283.660,565.700,66.250,438.170,197.490,270.820,385.550,43.610,158.650,324.250,253.470,155.660,141.120,58.910,214.540,137.040,77.650,272.050,279.740,11.160,71.170,364.860,351.270,191.700,105.120,254.140,21.000,313.490,97.430
59.770,284.510,567.100,66.770,438.730,198.530,269.750,380.640,43.610,157.660,325.620,253.080,154.220,142.600,58.300,213.030,138.490,75.970,265.860,275.420,11.220,70.520,362.710,352.540,194.850,105.940,249.200,21.420,313.680,96.720
61.670,298.920,591.340,71.270,449.260,210.790,268.060,378.750,43.000,160.900,342.550,260.050,154.140,150.330,62.580,219.340,141.620,80.430,274.760,288.820,11.400,69.530,376.590,355.850,198.530,110.490,253.690,22.180,311.920,96.750
61.780,302.300,603.810,70.610,449.140,212.930,264.920,311.380,42.650,158.730,352.540,263.010,148.440,150.740,62.390,218.220,142.350,76.630,270.450,289.170,11.370,68.960,373.600,356.140,203.420,111.380,258.590,22.560,308.690,95.880
61.290,300.100,611.600,68.230,452.940,212.330,262.590,308.010,42.350,158.020,349.660,265.640,146.360,147.880,61.730,217.180,141.670,73.470,262.280,290.740,11.130,69.160,372.810,356.460,204.720,112.940,257.820,21.520,307.500,96.830
64.260,299.550,615.900,68.180,453.130,211.450,270.900,274.350,43.480,162.410,349.810,267.490,149.610,148.740,62.400,222.290,142.260,74.800,271.690,290.760,11.180,71.610,378.630,362.300,206.240,112.220,266.680,21.550,314.480,96.350
63.620,299.720,619.030,69.320,454.270,211.260,273.630,291.910,43.990,163.280,353.580,267.560,151.330,153.110,63.110,222.880,142.100,76.060,272.410,291.150,11.290,72.000,380.780,365.120,205.820,113.420,266.760,21.660,318.610,98.240
63.920,299.300,612.300,68.920,458.870,208.780,274.540,315.890,44.310,164.770,352.570,264.880,152.490,154.140,62.080,224.940,138.490,77.230,275.850,287.630,11.250,71.930,379.380,367.900,205.250,112.660,268.410,21.380,321.230,98.120
63.420,296.170,606.520,68.940,458.170,206.860,273.710,321.580,44.220,165.640,349.490,265.680,153.660,154.150,62.560,225.060,137.270,77.970,275.010,288.060,11.230,71.690,377.050,366.840,207.670,112.360,266.950,21.270,319.800,97.800
63.200,286.000,593.460,67.910,452.570,202.090,271.150,302.980,43.750,165.430,342.510,261.040,153.180,149.400,59.980,221.870,135.560,76.980,271.340,282.280,11.180,71.850,370.840,358.300,203.210,110.460,260.870,20.690,316.440,96.430
63.360,287.180,598.230,68.010,454.860,201.360,271.080,296.670,43.130,165.030,345.190,260.670,152.610,149.780,61.320,223.630,135.290,77.840,271.900,283.420,11.240,71.140,366.130,357.970,203.410,111.130,258.370,20.550,314.310,95.930
63.110,285.220,598.540,67.650,450.180,195.270,271.040,295.570,43.320,165.860,343.390,260.710,152.940,147.620,60.020,222.030,136.540,77.580,271.660,273.130,11.170,71.770,362.710,353.540,202.360,109.720,258.630,20.050,314.570,96.340
63.110,285.220,598.540,67.650,450.180,195.270,271.040,295.570,43.320,165.860,343.390,260.710,152.940,147.620,60.020,222.030,136.540,77.580,271.660,273.130,11.170,71.770,362.710,353.540,202.360,109.720,258.630,20.050,314.570,96.340
63.750,293.760,615.730,69.270,460.690,200.210,275.880,295.000,43.500,167.760,351.510,265.290,153.250,149.490,62.830,226.460,137.830,77.590,279.450,277.190,11.210,71.780,370.400,359.300,201.030,112.360,263.230,20.550,314.950,97.580
63.340,293.360,608.440,68.090,457.360,200.420,273.650,298.110,43.130,167.360,349.490,263.490,152.430,148.660,61.780,224.610,136.020,76.170,278.400,276.030,11.190,71.150,368.060,359.730,201.500,111.520,260.240,20.370,312.840,97.240
63.050,295.380,604.860,68.980,458.680,199.950,274.410,298.170,43.330,168.560,351.790,264.370,153.580,149.630,61.440,225.190,137.910,76.400,283.540,266.920,11.240,71.490,368.290,362.400,208.180,112.020,258.690,20.250,311.860,97.100
