AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
31.062,40.720,117.450,99.150,65.180,80.710,59.950,82.320,104.790,113.130,56.860,40.550,27.250,96.290,49.775,105.440,48.920,157.100,103.240,159.180,66.080,192.230,79.640,31.270,78.930,148.640,162.520,107.110,143.700,84.260
31.330,40.290,117.360,99.640,65.290,80.730,60.520,82.430,105.280,114.540,57.100,40.680,27.130,95.830,49.830,106.000,49.470,155.880,103.510,160.450,66.680,191.550,80.240,30.810,79.700,149.280,162.800,107.740,144.720,85.970
31.330,40.290,117.360,99.640,65.290,80.730,60.520,82.430,105.280,114.540,57.100,40.680,27.130,95.830,49.830,106.000,49.470,155.880,103.510,160.450,66.680,191.550,80.240,30.810,79.700,149.280,162.800,107.740,144.720,85.970
31.837,41.545,117.700,99.160,65.200,80.990,60.470,83.040,106.920,114.950,57.180,40.680,27.220,96.280,49.865,105.630,49.630,155.280,104.490,162.040,67.940,192.050,81.490,30.810,79.630,150.930,165.480,108.130,146.040,88.010
31.503,41.530,117.350,100.100,65.800,80.500,60.850,82.390,108.540,114.300,57.430,41.170,27.390,96.350,49.805,105.430,49.270,157.280,104.130,162.070,68.200,192.390,80.540,31.040,78.330,152.320,166.210,107.340,145.560,87.280
31.400,41.420,118.190,100.160,66.500,81.030,61.050,82.770,106.660,115.590,57.150,41.010,27.550,96.850,50.420,106.360,49.130,160.330,103.850,161.850,68.210,192.560,80.440,31.260,78.690,153.360,166.270,107.340,145.110,87.680
31.640,41.480,118.550,101.330,66.440,80.840,61.470,82.890,106.950,114.570,57.430,40.890,27.625,96.550,50.360,106.770,49.010,161.490,104.390,162.340,67.740,194.890,80.680,31.310,79.160,153.420,166.790,107.300,146.220,92.620
31.775,41.720,119.000,102.060,66.340,80.650,61.700,83.350,106.910,115.240,57.250,41.050,28.040,97.800,49.985,106.950,49.220,163.380,104.700,162.860,67.640,195.640,82.600,31.240,79.590,154.380,167.070,107.650,145.170,92.020
31.712,41.760,119.370,100.550,65.610,80.290,62.070,83.430,106.500,114.440,56.730,40.880,27.980,97.440,49.635,106.510,49.040,162.490,103.280,162.380,67.080,195.580,82.140,31.930,79.270,153.240,165.840,107.870,144.810,91.710
31.575,41.650,119.920,100.520,65.530,80.150,63.040,83.600,108.840,114.050,57.760,40.700,27.810,97.580,49.765,106.660,49.180,162.570,103.250,162.300,66.910,197.720,83.000,31.730,79.490,153.210,165.990,107.790,146.490,91.980
