AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
26.930,41.820,112.630,92.090,68.960,21.273,61.450,68.900,78.190,113.070,52.530,38.750,25.120,93.470,54.315,99.510,44.900,147.460,95.960,142.680,66.630,182.120,74.900,27.820,74.000,127.440,138.500,97.490,124.980,86.040
28.085,43.360,114.230,93.350,69.620,21.480,62.570,69.810,78.060,116.480,52.980,38.900,25.650,96.040,55.350,101.890,45.350,152.290,98.010,145.050,67.980,184.510,76.100,28.600,74.940,130.630,141.240,98.930,127.170,87.830
27.593,43.500,113.990,92.640,70.400,21.620,62.680,69.930,78.260,116.600,52.650,39.160,25.900,96.010,55.425,101.990,45.720,149.230,98.570,146.780,68.250,185.060,74.450,29.080,75.260,131.020,141.740,99.370,128.490,88.260
27.317,42.610,112.360,91.310,69.160,21.297,61.500,68.760,76.670,114.420,51.590,38.520,25.520,94.850,54.845,100.970,44.820,147.020,96.590,143.700,67.130,180.380,73.100,28.520,74.080,129.760,139.840,97.760,126.240,87.430
27.317,42.610,112.360,91.310,69.160,21.297,61.500,68.760,76.670,114.420,51.590,38.520,25.520,94.850,54.845,100.970,44.820,147.020,96.590,143.700,67.130,180.380,73.100,28.520,74.080,129.760,139.840,97.760,126.240,87.430
28.078,43.890,116.090,93.940,70.530,22.127,63.160,69.980,76.840,116.430,52.690,38.900,26.300,96.780,55.875,104.010,45.880,154.560,99.810,147.230,70.760,185.880,74.300,29.500,75.490,133.820,143.430,99.650,132.270,90.090
27.538,43.070,115.080,92.220,69.600,21.707,62.180,68.480,74.920,113.970,51.930,38.300,25.940,95.430,54.930,101.910,45.390,151.080,98.860,145.050,69.030,185.680,72.960,29.240,75.120,132.650,140.860,98.480,131.370,88.940
28.142,43.290,116.770,92.720,70.230,21.373,62.660,68.320,75.660,114.490,52.720,38.420,26.260,95.250,55.190,102.600,45.460,153.140,99.550,146.200,69.740,185.910,72.420,29.270,75.310,133.550,140.780,99.090,131.280,89.380
28.552,43.480,118.700,92.930,70.760,21.550,62.560,68.420,75.790,115.440,52.090,38.130,26.020,97.410,55.910,104.480,45.730,153.210,99.620,147.370,70.050,185.270,72.630,29.470,75.500,134.670,141.260,99.490,131.340,90.400
28.828,43.040,117.800,93.320,70.010,21.427,62.380,68.060,75.770,114.730,52.340,38.100,25.700,96.970,55.945,103.820,45.650,151.000,99.220,145.650,69.890,183.940,72.770,29.390,75.140,134.430,140.810,99.280,129.240,90.170
29.070,43.980,120.030,94.400,70.510,21.440,63.580,69.450,77.170,116.180,53.550,38.500,25.980,98.190,56.920,103.430,46.370,152.140,100.320,147.530,71.270,187.450,74.580,29.730,76.500,136.300,143.600,100.860,130.830,90.920
29.102,44.300,121.150,94.610,70.990,21.563,64.140,70.100,79.020,117.820,53.870,39.150,26.070,98.690,57.790,103.960,46.190,151.180,100.960,148.410,71.880,188.640,75.640,29.770,77.320,137.200,144.200,101.910,134.940,90.910
28.480,44.250,123.260,94.840,70.960,21.490,62.650,70.240,79.410,117.910,53.960,39.380,25.880,97.840,57.635,104.200,45.230,153.910,100.530,148.140,72.320,186.450,74.060,29.710,77.060,137.450,142.950,101.660,132.660,89.680
28.363,43.480,122.470,93.390,69.790,21.113,60.940,69.940,77.740,115.120,52.130,38.980,25.540,97.050,57.525,102.840,44.570,150.590,98.040,144.510,71.400,180.940,71.860,29.020,75.950,136.090,139.620,99.660,129.930,86.490
28.802,44.110,123.940,93.130,70.780,21.240,61.450,70.650,78.090,116.580,50.980,39.190,25.540,97.900,58.280,103.410,44.800,147.090,97.740,146.480,72.140,183.350,72.160,29.160,76.740,136.020,140.040,100.520,132.060,88.250
28.350,43.900,122.930,93.240,70.250,21.197,60.910,70.190,77.250,115.800,50.740,38.790,25.140,97.200,57.985,102.490,44.430,145.930,96.040,144.430,71.650,179.720,71.680,28.670,75.710,133.990,138.020,98.980,130.800,86.710
28.580,43.870,123.280,92.990,70.950,21.240,60.640,70.260,76.120,116.170,51.030,38.760,25.280,97.380,57.715,101.570,43.980,145.720,94.590,143.660,71.990,179.410,70.200,28.740,75.630,131.670,137.660,99.080,127.740,87.440
28.750,43.910,121.090,92.480,70.240,21.277,60.220,71.360,76.890,116.340,50.590,39.150,25.410,97.290,57.395,100.620,44.090,143.510,93.620,144.410,71.710,176.910,65.800,28.480,74.690,129.750,137.580,98.860,127.470,85.750
28.677,43.940,116.370,91.000,70.690,21.260,61.470,72.670,77.700,116.740,49.600,39.620,26.025,97.590,62.500,100.300,44.220,138.530,93.520,145.420,72.440,179.830,64.980,28.810,75.100,131.010,139.560,99.910,126.960,85.320
28.110,43.290,112.700,91.370,67.200,21.220,59.980,71.770,75.770,114.100,48.420,39.530,25.660,95.960,61.070,98.490,43.740,132.240,91.590,142.520,69.040,173.020,63.790,28.760,73.340,128.130,138.380,99.080,120.060,82.630
27.265,43.440,114.220,93.040,68.530,21.260,59.840,72.280,76.250,112.910,48.650,39.660,25.640,97.480,59.835,99.420,43.530,133.820,92.520,142.470,68.380,171.860,64.310,29.240,73.100,128.750,141.550,99.470,121.680,82.060
27.575,44.260,116.010,93.350,69.660,21.613,60.970,71.940,78.880,115.490,49.390,40.120,26.250,98.530,61.485,102.200,43.510,138.320,94.690,144.970,69.430,173.760,65.360,30.140,74.130,130.950,141.770,99.530,127.200,83.100
