7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T,AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
3341.000,2617.000,155.000,1696.000,9095.000,4356.000,40930.000,5449.000,34210.000,5953.000,3313.000,23315,3360.000,3481.667,7530.000,4202.000,4812.000,4038.500,2559.500,5639.000,1765.500,4533.000,2033.000,3283.000,4434,1557.500,2291.500,6878.000,2496.500,3493.000,194.030,413.520,497.440,147.740,270.380,65.820,201.820,164.650,157.460,328.010,128.420,62.930,46.650,259.750,94.400,102.770,40.980,307.420,202.460,165.280,236.620,454.980,331.360,30.290,236.880,184.570,99.760,210.340,80.630,15.920
3298.000,2668.000,154.200,1683.500,9003.000,4374.000,40510.000,5433.000,34460.000,5947.000,3312.000,23300,3305.000,3446.667,7466.000,4192.000,4787.000,3916.500,2550.000,5534.000,1726.000,4570.000,2045.500,3209.000,4455,1577.000,2367.500,6792.000,2512.000,3498.000,194.350,416.070,505.490,147.800,272.420,66.600,199.160,167.010,156.130,328.260,128.710,63.940,47.420,262.720,94.740,103.330,41.560,307.370,207.230,165.810,234.860,455.300,327.570,30.030,237.250,188.620,98.610,209.640,80.340,16.110
3218.000,2687.000,152.500,1643.000,9420.000,4284.000,40740.000,5575.000,33540.000,5946.000,3192.000,23165,3243.000,3363.333,7291.000,4215.000,4814.000,3844.500,2470.000,5361.000,1668.000,4550.000,2059.500,3125.000,4353,1594.500,2360.500,6675.000,2575.000,3490.000,195.870,424.010,503.120,145.970,274.500,67.090,197.260,166.050,154.980,330.260,129.450,63.920,46.020,259.990,94.320,101.500,41.350,307.380,209.270,167.380,236.530,461.680,329.450,30.780,234.690,189.850,99.060,208.410,80.620,15.940
3273.000,2715.000,151.300,1650.500,9551.000,4286.000,40790.000,5773.000,34700.000,6060.000,3262.000,22645,3233.000,3386.667,7329.000,4203.000,4812.000,3818.500,2483.000,5425.000,1678.500,4529.000,2062.500,3112.000,4351,1586.500,2385.000,6649.000,2618.000,3476.000,194.480,424.520,501.920,146.420,277.040,67.150,196.910,168.470,155.930,331.100,130.520,64.150,46.230,260.720,95.720,101.210,41.330,305.690,208.450,168.200,242.760,458.100,328.290,30.420,233.350,191.420,98.220,209.710,80.250,15.860
3219.000,2685.000,150.000,1622.500,9496.000,4263.000,41080.000,5829.000,34460.000,6111.000,3270.000,22470,3247.000,3395.000,7352.000,4232.000,4757.000,3842.500,2474.000,5442.000,1667.500,4561.000,2054.000,3108.000,4329,1590.000,2432.000,6604.000,2643.500,3471.000,196.890,423.850,490.690,147.080,278.670,65.880,199.950,167.060,156.080,327.030,130.670,63.910,45.840,256.210,96.550,101.540,40.940,305.020,208.780,170.010,241.850,454.910,328.940,30.740,232.670,190.240,100.860,212.950,80.010,15.840
3272.000,2672.000,151.200,1649.500,9724.000,4299.000,41490.000,5788.000,34780.000,6206.000,3430.000,22900,3260.000,3455.000,7373.000,4241.000,4811.000,3856.000,2475.000,5587.000,1708.000,4571.000,2048.000,3147.000,4364,1576.500,2480.500,6712.000,2666.500,3517.000,193.120,427.870,495.000,147.130,275.040,66.960,199.610,167.350,156.740,332.560,131.490,63.590,45.850,253.810,96.000,102.740,40.410,304.720,210.740,170.380,241.840,453.550,329.610,30.910,232.440,190.120,100.660,213.000,79.880,15.940
3254.000,2668.000,150.200,1632.500,9669.000,4295.000,41700.000,5770.000,35560.000,6193.000,3412.000,22755,3275.000,3426.667,7344.000,4219.000,4978.000,3822.500,2491.500,5642.000,1708.000,4571.000,2051.000,3141.000,4366,1579.000,2461.000,6712.000,2689.500,3466.000,207.150,432.680,496.220,146.760,274.670,66.730,194.360,167.480,156.490,335.720,131.840,63.550,45.770,254.280,95.870,100.870,40.420,300.700,209.480,169.320,240.990,444.270,327.310,30.920,224.530,185.500,101.320,209.410,79.660,15.930
3209.000,2621.000,148.000,1618.500,9703.000,4278.000,40680.000,5626.000,35500.000,6168.000,3408.000,22570,3220.000,3381.667,7437.000,4165.000,4966.000,3779.000,2470.000,5596.000,1708.000,4537.000,2035.000,3109.000,4432,1567.000,2413.500,6723.000,2670.000,3418.000,213.070,441.060,493.070,145.410,270.320,66.310,191.530,165.180,154.220,344.140,130.200,62.880,45.620,254.480,93.680,100.800,39.770,301.080,208.500,169.000,235.800,448.700,328.730,30.760,224.040,182.670,101.210,207.260,80.530,15.540
3128.000,2653.000,147.800,1598.500,9772.000,4291.000,40750.000,5595.000,34910.000,6214.000,3383.000,23155,3141.000,3333.333,7378.000,4138.000,4995.000,3710.000,2432.000,5472.000,1684.500,4496.000,2026.500,3065.000,4428,1506.500,2443.000,6599.000,2673.000,3341.000,214.240,441.580,497.300,145.450,271.190,66.700,193.660,166.410,152.840,347.880,129.370,62.990,45.520,253.700,94.180,100.090,39.780,298.500,208.630,169.120,229.030,446.350,326.360,30.460,222.190,180.700,101.540,207.070,80.080,15.450
3116.000,2607.000,146.500,1578.500,10100.000,4222.000,40400.000,5422.000,34950.000,6145.000,3437.000,23300,3190.000,3330.000,7538.000,4142.000,4953.000,3797.000,2406.500,5444.000,1695.500,4524.000,2005.000,3063.000,4381,1502.000,2420.500,6599.000,2692.500,3339.000,212.490,442.570,497.120,145.540,270.660,67.020,193.780,166.790,152.570,346.840,129.480,62.550,45.680,253.580,93.390,99.970,39.670,298.620,208.530,169.210,231.940,446.460,321.470,30.450,224.820,177.270,100.900,205.850,79.660,15.550
3036.000,2539.000,144.900,1544.500,10120.000,4175.000,39460.000,5400.000,34080.000,5943.000,3345.000,22960,3080.000,3286.667,7379.000,4167.000,4942.000,3715.000,2341.000,5263.000,1642.500,4481.000,1997.500,3024.000,4265,1509.500,2376.500,6448.000,2600.000,3289.000,216.670,448.370,489.230,145.950,271.170,67.420,194.980,167.500,153.190,349.500,127.500,62.620,45.690,253.510,95.000,101.520,39.460,303.280,211.950,169.500,230.480,450.180,322.400,30.980,228.270,178.390,100.530,208.130,80.420,15.150
3052.000,2529.000,145.500,1544.500,10125.000,4177.000,39850.000,5311.000,35000.000,6093.000,3332.000,22760,3059.000,3324.333,7258.000,4044.000,5049.000,3698.000,2382.500,5312.000,1670.000,4484.000,1952.500,3039.000,4294,1505.000,2450.000,6488.000,2637.000,3293.000,214.290,446.340,481.050,145.650,273.620,67.600,197.000,168.560,153.330,353.870,127.990,62.630,45.970,250.790,94.780,101.500,40.080,305.990,212.870,170.550,231.810,457.430,325.140,30.630,229.310,174.990,100.770,208.510,80.720,16.110
3107.000,2554.000,145.600,1570.000,10225.000,4156.000,39960.000,5337.000,34730.000,6105.000,3394.000,22915,3058.000,3350.000,7336.000,4023.000,5153.000,3746.500,2396.000,5437.000,1681.000,4410.000,1911.500,3079.000,4252,1502.500,2427.500,6462.000,2564.000,3284.000,214.290,446.340,481.050,145.650,273.620,67.600,197.000,168.560,153.330,353.870,127.990,62.630,45.970,250.790,94.780,101.500,40.080,305.990,212.870,170.550,231.810,457.430,325.140,30.630,229.310,174.990,100.770,208.510,80.720,16.110
3084.000,2559.000,146.000,1547.000,10210.000,4155.000,39810.000,5464.000,34890.000,6184.000,3408.000,23025,3054.000,3333.333,7300.000,4023.000,5142.000,3714.500,2427.500,5420.000,1663.500,4389.000,1939.500,3078.000,4216,1497.000,2398.000,6427.000,2551.000,3268.000,209.680,445.700,484.520,147.780,276.820,68.010,198.670,167.670,156.640,353.440,129.670,62.180,46.720,253.800,95.570,101.840,40.240,309.890,214.140,173.920,241.800,458.050,329.130,30.620,230.210,176.300,101.660,211.970,79.870,15.870
3074.000,2562.000,147.000,1547.000,9889.000,4171.000,40350.000,5450.000,34920.000,6077.000,3354.000,23175,3046.000,3333.333,7261.000,4028.000,5157.000,3709.000,2424.500,5517.000,1660.000,4416.000,1944.000,3100.000,4197,1529.500,2393.000,6414.000,2518.000,3297.000,207.490,449.780,482.590,148.750,275.220,67.910,196.300,168.260,155.280,355.800,130.720,62.770,47.290,259.390,97.180,102.270,40.240,308.160,215.090,172.460,245.060,450.180,327.840,31.090,230.380,176.560,102.390,209.800,79.830,15.970
3150.000,2585.000,149.400,1579.500,9971.000,4220.000,40460.000,5442.000,34990.000,6019.000,3350.000,22840,3048.000,3343.333,7280.000,4095.000,5358.000,3697.500,2432.500,5520.000,1688.000,4438.000,1940.000,3127.000,4258,1562.500,2437.500,6365.000,2579.500,3349.000,208.140,447.670,489.980,149.120,276.300,68.900,198.880,168.450,159.310,350.880,132.960,63.970,47.280,260.380,97.170,101.980,41.170,318.150,215.890,175.010,239.940,462.090,330.000,30.570,231.470,179.100,102.990,211.090,81.080,15.910
